,pl_name,hostname,pl_bmasse,pl_orbper,pl_orbsmax,st_mass
452,BD+20 2457 c,BD+20 2457,3963.17,621.99,2.01,2.8
453,BD-17 63 b,BD-17 63,905.8155,655.59998,1.34,0.31
454,BD-17 63 b,BD-17 63,1620.9,655.6,1.34,0.74
455,HD 113538 b,HD 113538,114.41,663.2,1.24,0.585
456,HD 116029 b,HD 116029,667.4,670,1.78,1.58
457,HD 116029 b,HD 116029,444.962,670,1.65,0.83
458,GJ 317 b,GJ 317,794.5,692,1.15,0.42
459,GJ 317 b,GJ 317,381.4,692.9,0.95,0.26
460,GJ 317 b,GJ 317,588.93603817,695.36,1.18,0.453271
461,GJ 317 b,GJ 317,557.1,695.66,1.151,0.42
462,HD 11977 b,HD 11977,2080,711,1.93,1.91
463,7 CMa b,7 CMa,587.9855,735.1,1.758,1.34
464,7 CMa b,7 CMa,826.3,763,1.9,1.52
465,HD 102329 b,HD 102329,2593.4928,778.09998,1.81,3.21
466,HD 102329 b,HD 102329,1875.1,778.1,2.03,1.95
467,16 Cyg B b,16 Cyg B,533.9544,798.5,1.681,0.99
468,16 Cyg B b,16 Cyg B,565.7374,798.5,1.66,1.08
469,16 Cyg B b,16 Cyg B,556.83536906,799.45,1.676,0.982996
470,16 Cyg B b,16 Cyg B,533.93,799.5,1.68,1.03
471,16 Cyg B b,16 Cyg B,476.7,800.8,1.6,1
472,HD 110014 b,HD 110014,3524.59,835.477,2.14,2.17
473,6 Lyn b,6 Lyn,702.4043,874.774,2.18,1.82
474,24 Sex c,24 Sex,273.32,883,2.08,1.54
475,6 Lyn b,6 Lyn,762.8,899,2.2,1.7
476,gam Cep b,gam Cep,508.5254512,902.9,2.044,1.4
477,gam Cep b,gam Cep,587.96,903.3,2.05,1.4
478,gam Cep b,gam Cep,540.3,905.574,2.13,1.59
479,6 Lyn b,6 Lyn,597.83523357,919.86,2.028,1.32
480,6 Lyn b,6 Lyn,638.8383,934.3,2.11,1.44
481,HD 110014 b,HD 110014,4344.7361,936.4,2.5,2.09
482,HD 114386 b,HD 114386,394.09,937.7,1.65,0.68
483,HD 114386 b,HD 114386,362.3262,937.70001,1.73,0.6
484,81 Cet b,81 Cet,1684.4,952.7,2.5,2.4
485,HD 126525 b,HD 126525,75.32571,960.41,1.837,0.897
486,18 Del b,18 Del,2926.24614325,982.85,2.476,2.1
487,HD 10647 b,HD 10647,298.75,989.2,2.015,1.11
488,18 Del b,18 Del,3273.5,993.3,2.6,2.3
489,HD 10647 b,HD 10647,295.57,1003,2.03,1.1
490,81 Cet b,81 Cet,1051.05854195,1005.57,2.104,1.23
491,GJ 676 A b,GJ 676 A,1570,1050.3,1.8,0.71
492,GJ 676 A b,GJ 676 A,1840.86213334,1051.44521,1.735,0.626
493,GJ 676 A b,GJ 676 A,1576.4368,1056.80005,1.82,0.73
494,HD 10697 b,HD 10697,1973.64,1075.2,2.131,1.112
495,HD 10697 b,HD 10697,1825.2885414,1075.3799,2.051,0.99
496,HD 10697 b,HD 10697,2151.69831539,1075.5,2.143,1.13
497,HD 10697 b,HD 10697,2030.92352073,1075.65,2.156,1.155848
498,HD 10697 b,HD 10697,2028.70889,1075.69,2.14,1.13
499,HD 10697 b,HD 10697,2027.7,1076.4,2.16,0.99
500,47 UMa b,47 UMa,778.6835,1076.6,2.1,1.063
501,47 UMa b,47 UMa,774.86565627,1076.6,2.059,1.005192
502,47 UMa b,47 UMa,804.08,1078,2.1,1.06
503,HD 114729 b,HD 114729,346.4347,1114,2.1,1.24
504,HD 114729 b,HD 114729,301.93,1114,2.11,1
505,HD 111232 b,HD 111232,2129.461,1118,1.9,0.75
506,HD 114729 b,HD 114729,262.20975,1121.79,2.067,0.936
507,HD 114729 b,HD 114729,283.50293904,1132.7,2.094,0.955311
508,HD 114729 b,HD 114729,266.97,1135,2.08,0.93
509,HD 111232 b,HD 111232,2161.15,1143,1.97,0.78
510,HD 111232 b,HD 111232,2269.3062,1143,1.97,0.84
511,HD 111232 b,HD 111232,2374.17820029,1168.69,2.051,0.83
512,HD 111232 b,HD 111232,2531.50326176,1169.13202,2.148,0.96
513,HD 126614 b,HD 126614,120,1244,2.35,1.145
514,HD 126614 b,HD 126614,130.3103,1244,2.37,1.26
515,HD 126614 b,HD 126614,113.14691289,1253.5,2.291,1.021245
516,HD 126614 b,HD 126614,107.74382997,1257.25303,2.249,0.96
517,HD 11506 b,HD 11506,1093.29,1270.2,2.43,1.12
518,HD 11506 b,HD 11506,1506.45,1405,2.48,1.19
519,HD 11506 b,HD 11506,1760.7782,1405,2.6,1.51
520,HD 106252 b,HD 106252,2199.29,1531,2.611,1.007
521,HD 106252 b,HD 106252,2202.5619,1531,2.61,1.01
522,HD 106252 b,HD 106252,3178.28407,1535,2.655,1.05
523,HD 106252 b,HD 106252,2419.538,1600,2.7033,1.03
524,HD 106252 b,HD 106252,2402.7948,1600,2.7,1.06
525,HD 108874 c,HD 108874,323.537,1605.8,2.68,0.99
526,HAT-P-17 c,HAT-P-17,416.34,1610,2.555,0.857
527,HD 11506 b,HD 11506,1551.00262616,1613.74017,2.8,1.12
528,HD 11506 b,HD 11506,1525.5763536,1617.7,2.885,1.22
529,HD 11506 b,HD 11506,1535.1189,1622.1,2.9,1.24
530,HD 108874 c,HD 108874,314.64,1624,2.659,0.95
531,HD 11506 b,HD 11506,1338.01,1627.5,2.708,1.24
532,HD 113538 c,HD 113538,225.65,1657,2.43,0.7
533,HD 12661 c,HD 12661,581.6,1679,2.86,1
534,HD 108874 c,HD 108874,338.2,1680,2.77,0.97
535,HD 12661 c,HD 12661,589.57169499,1696.7,2.861,1.084826
536,HD 12661 c,HD 12661,575.884,1708,2.8145,1.02
537,HD 12661 c,HD 12661,610,1708,2.9,1
538,14 Her b,14 Her,1554.12,1724,2.82,1
539,HD 108874 c,HD 108874,362.00655557,1743.2,2.83,0.995578
540,14 Her b,14 Her,2559.47216157,1765.0389,2.774,0.91
541,14 Her b,14 Her,1581.138,1766,2.864,0.91
542,14 Her b,14 Her,1541.46777395,1766.41,2.83,0.969205
543,14 Her b,14 Her,1481.0878,1773.40002,2.93,0.9
544,14 Her b,14 Her,1506.45,1796.4,2.8,0.9
545,HD 113538 c,HD 113538,295.57,1818,2.44,0.585
546,GJ 849 b,GJ 849,289.21,1845,2.32,0.49
547,GJ 849 b,GJ 849,317.83,1882,2.35,0.65
548,HD 106270 b,HD 106270,3219.6179,1888,3.34,1.39
549,HD 106270 b,HD 106270,3623.2438398,1890,3.347,1.48
550,GJ 849 b,GJ 849,260.61,1890,2.35,0.49
551,GJ 849 b,GJ 849,289.531,1924,2.39,0.461286
552,GJ 849 b,GJ 849,283.82076745,1925.31,2.32,0.45
553,HD 11964 b,HD 11964,200.54972482,1935,3.185,1.151343
554,GJ 849 b,GJ 849,283.18511064,1940,2.409,0.495859
555,HD 11964 b,HD 11964,198,1945,3.16,0.91
556,HD 11964 b,HD 11964,193.9,2110,3.34,1.12
557,HD 10180 h,HD 10180,65.663678,2205,3.381,1.06
558,HD 10180 h,HD 10180,64.4,2222,3.4,1.06
559,47 UMa c,47 UMa,157.96071828,2287,3.404,1.005192
560,GJ 179 b,GJ 179,260.61,2288,2.41,0.357
561,GJ 179 b,GJ 179,301.93698665,2303,2.424,0.357
562,GJ 179 b,GJ 179,239.00696206,2333,2.523,0.393442
563,47 UMa c,47 UMa,171.621,2391,3.6,1.06
564,eps Eri b,eps Eri,492.6365,2502,3.39,0.83
565,eps Eri b,eps Eri,540.311,2502.1,3.4,0.85
566,HD 117207 b,HD 117207,597,2597,3.79,1.08
567,HD 117207 b,HD 117207,549.8459,2597,3.74,0.96
568,HD 117207 b,HD 117207,669.34662514,2606,3.773,1.053
569,HD 117207 b,HD 117207,594.33912109,2615,3.744,1.024232
570,HD 117207 b,HD 117207,612.14058,2621.75,3.787,1.053
571,HD 117207 b,HD 117207,654.7298,2627.08,3.78,1.04
572,eps Eri b,eps Eri,206.90629296,2650,3.5,0.814595
